"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2014-12_Geographe.Bay_stereoBRUVs","1","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","10","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","10001","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","102","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","108","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","108","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","11","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","111","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","115","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","116","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","12","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","13RC11","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","167","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2014-12_Geographe.Bay_stereoBRUVs","19","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","207","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","24","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","24","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","27","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","27","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","272","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","3","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","3","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","30","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","31","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","331","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","35","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","36","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","37","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","37","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","375","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","378","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","38","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","38","Ostraciidae","Caprichthys","gymnura","Aracanidae","Caprichthys","gymnura"
"2014-12_Geographe.Bay_stereoBRUVs","391","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2014-12_Geographe.Bay_stereoBRUVs","40","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","44","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","443","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","455","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","455","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2014-12_Geographe.Bay_stereoBRUVs","47","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","490","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","490","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2014-12_Geographe.Bay_stereoBRUVs","523","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","53","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","54","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","58","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","583","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","62","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","63","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","647","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","65","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","682","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2014-12_Geographe.Bay_stereoBRUVs","69","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","694","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","7","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","70","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","70","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","71","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","719","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","746","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","748","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","748","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","764","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2014-12_Geographe.Bay_stereoBRUVs","783","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","783","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","79","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2014-12_Geographe.Bay_stereoBRUVs","81","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","81","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","84","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","858","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","86","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","88","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","91","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","92","Ostraciidae","Anoplocapros","amygdaloides","Aracanidae","Anoplocapros","amygdaloides"
"2014-12_Geographe.Bay_stereoBRUVs","GBR4-2","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-1","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","RC2","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","RC2","Ostraciidae","Caprichthys","gymnura","Aracanidae","Caprichthys","gymnura"
