"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2014-12_Geographe.Bay_stereoBRUVs","26","Monacanthidae","Acanthaluteres","vittiger",37,2,35,94.5945945945946
"2014-12_Geographe.Bay_stereoBRUVs","113","Carangidae","Pseudocaranx","spp",136,120,16,11.7647058823529
"2014-12_Geographe.Bay_stereoBRUVs","RB2","Gerreidae","Parequula","melbournensis",25,13,12,48
"2014-12_Geographe.Bay_stereoBRUVs","104","Labridae","Coris","auricularis",7,1,6,85.7142857142857
"2014-12_Geographe.Bay_stereoBRUVs","104","Labridae","Ophthalmolepis","lineolatus",5,2,3,60
"2014-12_Geographe.Bay_stereoBRUVs","104","Scorpididae","Neatypus","obliquus",23,20,3,13.0434782608696
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Coris","auricularis",46,49,3,6.52173913043478
"2014-12_Geographe.Bay_stereoBRUVs","13RC3","Labridae","Coris","auricularis",5,8,3,60
"2014-12_Geographe.Bay_stereoBRUVs","199","Labridae","Coris","auricularis",17,20,3,17.6470588235294
"2014-12_Geographe.Bay_stereoBRUVs","826","Gerreidae","Parequula","melbournensis",4,1,3,75
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-3","Labridae","Coris","auricularis",21,24,3,14.2857142857143
"2014-12_Geographe.Bay_stereoBRUVs","100","Sparidae","Chrysophrys","auratus",4,2,2,50
"2014-12_Geographe.Bay_stereoBRUVs","12RC1","Labridae","Coris","auricularis",24,26,2,8.33333333333333
"2014-12_Geographe.Bay_stereoBRUVs","12RC5","Labridae","Ophthalmolepis","lineolatus",3,5,2,66.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","13RC2","Labridae","Coris","auricularis",2,4,2,100
"2014-12_Geographe.Bay_stereoBRUVs","13RC2","Labridae","Ophthalmolepis","lineolatus",2,4,2,100
"2014-12_Geographe.Bay_stereoBRUVs","23","Gerreidae","Parequula","melbournensis",0,2,2,Inf
"2014-12_Geographe.Bay_stereoBRUVs","28","Labridae","Ophthalmolepis","lineolatus",3,5,2,66.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","331","Labridae","Choerodon","rubescens",3,1,2,66.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","394","Labridae","Notolabrus","parilus",1,3,2,200
"2014-12_Geographe.Bay_stereoBRUVs","506","Labridae","Coris","auricularis",42,44,2,4.76190476190476
"2014-12_Geographe.Bay_stereoBRUVs","523","Monacanthidae","Nelusetta","ayraud",0,2,2,Inf
"2014-12_Geographe.Bay_stereoBRUVs","634","Labridae","Coris","auricularis",2,4,2,100
"2014-12_Geographe.Bay_stereoBRUVs","640","Rhinobatidae","Trygonorrhina","dumerilii",1,3,2,200
"2014-12_Geographe.Bay_stereoBRUVs","7","Labridae","Coris","auricularis",29,31,2,6.89655172413793
"2014-12_Geographe.Bay_stereoBRUVs","843","Labridae","Coris","auricularis",12,14,2,16.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","858","Labridae","Coris","auricularis",53,55,2,3.77358490566038
"2014-12_Geographe.Bay_stereoBRUVs","GBR-BOB","Labridae","Coris","auricularis",31,33,2,6.45161290322581
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-1","Labridae","Coris","auricularis",46,48,2,4.34782608695652
"2014-12_Geographe.Bay_stereoBRUVs","GBR4-1","Labridae","Coris","auricularis",6,8,2,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","10005","Rhinobatidae","Trygonorrhina","dumerilii",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","101","Labridae","Ophthalmolepis","lineolatus",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","1038","Labridae","Coris","auricularis",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","107","Labridae","Coris","auricularis",16,17,1,6.25
"2014-12_Geographe.Bay_stereoBRUVs","115","Neosebastidae","Neosebastes","pandus",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","12RC3","Labridae","Coris","auricularis",25,26,1,4
"2014-12_Geographe.Bay_stereoBRUVs","12RC5","Labridae","Coris","auricularis",8,9,1,12.5
"2014-12_Geographe.Bay_stereoBRUVs","12RC6","Labridae","Coris","auricularis",27,28,1,3.7037037037037
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Notolabrus","parilus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Labridae","Pseudolabrus","biserialis",3,2,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Monacanthidae","Acanthaluteres","vittiger",0,1,1,Inf
"2014-12_Geographe.Bay_stereoBRUVs","12RC8","Labridae","Pseudolabrus","biserialis",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","139","Labridae","Coris","auricularis",7,8,1,14.2857142857143
"2014-12_Geographe.Bay_stereoBRUVs","13RC1","Labridae","Notolabrus","parilus",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","13RC2","Glaucosomatidae","Glaucosoma","hebraicum",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","13RC2","Labridae","Notolabrus","parilus",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","13RC4","Labridae","Coris","auricularis",15,16,1,6.66666666666667
"2014-12_Geographe.Bay_stereoBRUVs","13RC4","Labridae","Ophthalmolepis","lineolatus",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","13RC6","Labridae","Coris","auricularis",6,7,1,16.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","151","Labridae","Ophthalmolepis","lineolatus",7,8,1,14.2857142857143
"2014-12_Geographe.Bay_stereoBRUVs","167","Labridae","Notolabrus","parilus",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","170","Monacanthidae","Acanthaluteres","vittiger",7,6,1,14.2857142857143
"2014-12_Geographe.Bay_stereoBRUVs","176","Labridae","Coris","auricularis",22,23,1,4.54545454545455
"2014-12_Geographe.Bay_stereoBRUVs","2","Labridae","Coris","auricularis",26,27,1,3.84615384615385
"2014-12_Geographe.Bay_stereoBRUVs","2","Labridae","Ophthalmolepis","lineolatus",10,11,1,10
"2014-12_Geographe.Bay_stereoBRUVs","218","Clupeidae","Sprattus","sprattus",0,1,1,Inf
"2014-12_Geographe.Bay_stereoBRUVs","240","Labridae","Coris","auricularis",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","256","Labridae","Coris","auricularis",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","26","Labridae","Coris","auricularis",27,28,1,3.7037037037037
"2014-12_Geographe.Bay_stereoBRUVs","271","Labridae","Coris","auricularis",36,37,1,2.77777777777778
"2014-12_Geographe.Bay_stereoBRUVs","271","Labridae","Notolabrus","parilus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","272","Labridae","Ophthalmolepis","lineolatus",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","28","Labridae","Coris","auricularis",5,6,1,20
"2014-12_Geographe.Bay_stereoBRUVs","282","Labridae","Coris","auricularis",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","287","Labridae","Coris","auricularis",18,19,1,5.55555555555556
"2014-12_Geographe.Bay_stereoBRUVs","287","Labridae","Ophthalmolepis","lineolatus",6,7,1,16.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","288","Labridae","Notolabrus","parilus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","304","Labridae","Coris","auricularis",9,10,1,11.1111111111111
"2014-12_Geographe.Bay_stereoBRUVs","304","Labridae","Pseudolabrus","biserialis",3,2,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","314","Labridae","Coris","auricularis",32,33,1,3.125
"2014-12_Geographe.Bay_stereoBRUVs","32","Labridae","Coris","auricularis",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","320","Labridae","Ophthalmolepis","lineolatus",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","320","Monacanthidae","Scobinichthys","granulatus",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","327","Labridae","Coris","auricularis",15,16,1,6.66666666666667
"2014-12_Geographe.Bay_stereoBRUVs","346","Labridae","Coris","auricularis",5,6,1,20
"2014-12_Geographe.Bay_stereoBRUVs","35","Labridae","Ophthalmolepis","lineolatus",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","368","Labridae","Notolabrus","parilus",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","375","Labridae","Coris","auricularis",21,22,1,4.76190476190476
"2014-12_Geographe.Bay_stereoBRUVs","375","Labridae","Ophthalmolepis","lineolatus",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","39","Labridae","Coris","auricularis",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","394","Monacanthidae","Acanthaluteres","vittiger",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","394","Rhinobatidae","Trygonorrhina","dumerilii",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","44","Labridae","Coris","auricularis",12,13,1,8.33333333333333
"2014-12_Geographe.Bay_stereoBRUVs","443","Neosebastidae","Neosebastes","pandus",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","448","Labridae","Coris","auricularis",7,8,1,14.2857142857143
"2014-12_Geographe.Bay_stereoBRUVs","448","Labridae","Ophthalmolepis","lineolatus",7,8,1,14.2857142857143
"2014-12_Geographe.Bay_stereoBRUVs","48","Labridae","Ophthalmolepis","lineolatus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","492","Monacanthidae","Acanthaluteres","vittiger",0,1,1,Inf
"2014-12_Geographe.Bay_stereoBRUVs","5","Labridae","Coris","auricularis",20,21,1,5
"2014-12_Geographe.Bay_stereoBRUVs","506","Labridae","Ophthalmolepis","lineolatus",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","512","Labridae","Coris","auricularis",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","54","Aracanidae","Anoplocapros","amygdaloides",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","543","Labridae","Coris","auricularis",7,8,1,14.2857142857143
"2014-12_Geographe.Bay_stereoBRUVs","544","Labridae","Coris","auricularis",6,7,1,16.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","554","Labridae","Coris","auricularis",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","554","Labridae","Notolabrus","parilus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","579","Labridae","Coris","auricularis",5,6,1,20
"2014-12_Geographe.Bay_stereoBRUVs","579","Labridae","Notolabrus","parilus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","583","Labridae","Coris","auricularis",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","583","Labridae","Ophthalmolepis","lineolatus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","587","Labridae","Coris","auricularis",17,18,1,5.88235294117647
"2014-12_Geographe.Bay_stereoBRUVs","608","Labridae","Coris","auricularis",8,9,1,12.5
"2014-12_Geographe.Bay_stereoBRUVs","611","Labridae","Coris","auricularis",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","611","Labridae","Notolabrus","parilus",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","635","Rhinobatidae","Trygonorrhina","dumerilii",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","655","Labridae","Coris","auricularis",11,12,1,9.09090909090909
"2014-12_Geographe.Bay_stereoBRUVs","666","Labridae","Coris","auricularis",41,42,1,2.4390243902439
"2014-12_Geographe.Bay_stereoBRUVs","666","Labridae","Ophthalmolepis","lineolatus",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","67","Labridae","Coris","auricularis",6,7,1,16.6666666666667
"2014-12_Geographe.Bay_stereoBRUVs","682","Labridae","Coris","auricularis",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","682","Labridae","Ophthalmolepis","lineolatus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","682","Mullidae","Mulloidichthys","flavolineatus",0,1,1,Inf
"2014-12_Geographe.Bay_stereoBRUVs","698","Labridae","Coris","auricularis",10,11,1,10
"2014-12_Geographe.Bay_stereoBRUVs","698","Labridae","Ophthalmolepis","lineolatus",9,10,1,11.1111111111111
"2014-12_Geographe.Bay_stereoBRUVs","7","Labridae","Anampses","meleagrides",0,1,1,Inf
"2014-12_Geographe.Bay_stereoBRUVs","71","Labridae","Coris","auricularis",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","71","Labridae","Ophthalmolepis","lineolatus",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","71","Labridae","Pseudolabrus","biserialis",3,4,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","714","Labridae","Coris","auricularis",16,17,1,6.25
"2014-12_Geographe.Bay_stereoBRUVs","719","Neosebastidae","Neosebastes","pandus",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","720","Labridae","Coris","auricularis",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","759","Labridae","Coris","auricularis",51,52,1,1.96078431372549
"2014-12_Geographe.Bay_stereoBRUVs","764","Carangidae","Pseudocaranx","spp",3,2,1,33.3333333333333
"2014-12_Geographe.Bay_stereoBRUVs","77","Labridae","Ophthalmolepis","lineolatus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","784","Labridae","Coris","auricularis",12,13,1,8.33333333333333
"2014-12_Geographe.Bay_stereoBRUVs","791","Labridae","Ophthalmolepis","lineolatus",8,9,1,12.5
"2014-12_Geographe.Bay_stereoBRUVs","800","Labridae","Coris","auricularis",11,12,1,9.09090909090909
"2014-12_Geographe.Bay_stereoBRUVs","810","Labridae","Coris","auricularis",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","816","Platycephalidae","Platycephalus","spp",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","832","Labridae","Ophthalmolepis","lineolatus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","842","Labridae","Coris","auricularis",48,49,1,2.08333333333333
"2014-12_Geographe.Bay_stereoBRUVs","843","Labridae","Ophthalmolepis","lineolatus",5,6,1,20
"2014-12_Geographe.Bay_stereoBRUVs","87","Pomacentridae","Chromis","klunzingeri",9,8,1,11.1111111111111
"2014-12_Geographe.Bay_stereoBRUVs","880","Labridae","Coris","auricularis",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","90","Labridae","Coris","auricularis",14,15,1,7.14285714285714
"2014-12_Geographe.Bay_stereoBRUVs","91","Aracanidae","Anoplocapros","amygdaloides",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","95","Labridae","Coris","auricularis",17,18,1,5.88235294117647
"2014-12_Geographe.Bay_stereoBRUVs","GBR-BOB","Labridae","Ophthalmolepis","lineolatus",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-1","Labridae","Coris","auricularis",26,27,1,3.84615384615385
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-2","Labridae","Coris","auricularis",18,19,1,5.55555555555556
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-2","Labridae","Ophthalmolepis","lineolatus",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-2","Neosebastidae","Neosebastes","pandus",2,1,1,50
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-2","Plesiopidae","Trachinops","noarlungae",16,17,1,6.25
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-2","Serranidae","Othos","dentex",1,2,1,100
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-3","Labridae","Ophthalmolepis","lineolatus",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-4","Labridae","Coris","auricularis",14,15,1,7.14285714285714
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-2","Labridae","Coris","auricularis",28,29,1,3.57142857142857
"2014-12_Geographe.Bay_stereoBRUVs","GBR3-3","Labridae","Ophthalmolepis","lineolatus",4,5,1,25
"2014-12_Geographe.Bay_stereoBRUVs","GBR4-1","Labridae","Ophthalmolepis","lineolatus",2,3,1,50
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-2","Labridae","Coris","auricularis",29,30,1,3.44827586206897
"2014-12_Geographe.Bay_stereoBRUVs","GBR5-3","Labridae","Coris","auricularis",17,18,1,5.88235294117647
"2014-12_Geographe.Bay_stereoBRUVs","RC2","Labridae","Ophthalmolepis","lineolatus",1,2,1,100
