"sample","legal","number"
"1","legal",2
"1","non-legal",0
"10","legal",0
"10","non-legal",2
"100","legal",2
"100","non-legal",1
"10000","legal",1
"10000","non-legal",1
"10001","legal",0
"10001","non-legal",1
"10002","legal",6
"10002","non-legal",0
"10003","legal",0
"10003","non-legal",0
"10004","legal",0
"10004","non-legal",0
"10005","legal",1
"10005","non-legal",1
"101","legal",4
"101","non-legal",3
"102","legal",1
"102","non-legal",0
"103","legal",3
"103","non-legal",2
"1038","legal",1
"1038","non-legal",1
"104","legal",0
"104","non-legal",0
"106","legal",0
"106","non-legal",1
"107","legal",3
"107","non-legal",1
"108","legal",0
"108","non-legal",0
"11","legal",1
"11","non-legal",0
"110","legal",0
"110","non-legal",0
"1108","legal",1
"1108","non-legal",0
"111","legal",1
"111","non-legal",1
"112","legal",3
"112","non-legal",1
"113","legal",1
"113","non-legal",0
"114","legal",0
"114","non-legal",0
"115","legal",0
"115","non-legal",1
"116","legal",0
"116","non-legal",2
"119","legal",0
"119","non-legal",5
"11R1","legal",0
"11R1","non-legal",2
"11R2","legal",0
"11R2","non-legal",1
"11R3","legal",1
"11R3","non-legal",0
"11R4","legal",2
"11R4","non-legal",8
"12","legal",0
"12","non-legal",0
"122","legal",1
"122","non-legal",0
"12RC1","legal",6
"12RC1","non-legal",2
"12RC2","legal",9
"12RC2","non-legal",7
"12RC3","legal",2
"12RC3","non-legal",5
"12RC5","legal",5
"12RC5","non-legal",2
"12RC6","legal",4
"12RC6","non-legal",2
"12RC7","legal",4
"12RC7","non-legal",4
"12RC8","legal",5
"12RC8","non-legal",1
"12RC9","legal",4
"12RC9","non-legal",6
"13","legal",0
"13","non-legal",3
"135","legal",0
"135","non-legal",0
"138","legal",3
"138","non-legal",4
"139","legal",1
"139","non-legal",3
"13RC1","legal",0
"13RC1","non-legal",3
"13RC11","legal",0
"13RC11","non-legal",3
"13RC12","legal",3
"13RC12","non-legal",1
"13RC13","legal",2
"13RC13","non-legal",4
"13RC15","legal",0
"13RC15","non-legal",1
"13RC2","legal",2
"13RC2","non-legal",3
"13RC3","legal",3
"13RC3","non-legal",2
"13RC4","legal",2
"13RC4","non-legal",3
"13RC5","legal",1
"13RC5","non-legal",3
"13RC6","legal",2
"13RC6","non-legal",2
"13RC7","legal",0
"13RC7","non-legal",1
"13RC8","legal",0
"13RC8","non-legal",2
"13RC9","legal",1
"13RC9","non-legal",3
"14","legal",0
"14","non-legal",4
"143","legal",2
"143","non-legal",6
"144","legal",0
"144","non-legal",0
"15","legal",0
"15","non-legal",0
"151","legal",1
"151","non-legal",0
"154","legal",0
"154","non-legal",1
"16","legal",0
"16","non-legal",1
"160","legal",1
"160","non-legal",0
"167","legal",1
"167","non-legal",2
"17","legal",1
"17","non-legal",2
"170","legal",2
"170","non-legal",5
"175","legal",0
"175","non-legal",2
"176","legal",1
"176","non-legal",4
"18","legal",0
"18","non-legal",0
"183","legal",0
"183","non-legal",0
"19","legal",4
"19","non-legal",4
"192","legal",0
"192","non-legal",0
"196","legal",1
"196","non-legal",0
"199","legal",2
"199","non-legal",4
"2","legal",0
"2","non-legal",0
"20","legal",3
"20","non-legal",1
"202","legal",0
"202","non-legal",1
"207","legal",0
"207","non-legal",0
"208","legal",0
"208","non-legal",1
"21","legal",1
"21","non-legal",0
"215","legal",0
"215","non-legal",0
"218","legal",0
"218","non-legal",1
"22","legal",1
"22","non-legal",1
"224","legal",2
"224","non-legal",0
"23","legal",0
"23","non-legal",2
"234","legal",1
"234","non-legal",0
"236","legal",1
"236","non-legal",1
"24","legal",0
"24","non-legal",0
"240","legal",1
"240","non-legal",0
"247","legal",0
"247","non-legal",2
"25","legal",1
"25","non-legal",0
"250","legal",0
"250","non-legal",0
"256","legal",5
"256","non-legal",2
"26","legal",0
"26","non-legal",3
"267","legal",1
"267","non-legal",1
"27","legal",0
"27","non-legal",3
"270","legal",0
"270","non-legal",1
"271","legal",2
"271","non-legal",4
"272","legal",1
"272","non-legal",1
"279","legal",0
"279","non-legal",0
"28","legal",0
"28","non-legal",0
"282","legal",0
"282","non-legal",2
"287","legal",3
"287","non-legal",2
"288","legal",1
"288","non-legal",2
"29","legal",1
"29","non-legal",3
"295","legal",0
"295","non-legal",0
"298","legal",3
"298","non-legal",5
"3","legal",1
"3","non-legal",0
"30","legal",0
"30","non-legal",0
"304","legal",16
"304","non-legal",3
"31","legal",0
"31","non-legal",0
"314","legal",4
"314","non-legal",3
"316","legal",0
"316","non-legal",5
"32","legal",3
"32","non-legal",1
"320","legal",0
"320","non-legal",1
"327","legal",1
"327","non-legal",3
"33","legal",0
"33","non-legal",0
"330","legal",0
"330","non-legal",0
"331","legal",0
"331","non-legal",9
"335","legal",0
"335","non-legal",0
"34","legal",0
"34","non-legal",0
"346","legal",3
"346","non-legal",3
"35","legal",1
"35","non-legal",2
"352","legal",0
"352","non-legal",2
"36","legal",0
"36","non-legal",0
"362","legal",0
"362","non-legal",2
"368","legal",0
"368","non-legal",0
"37","legal",0
"37","non-legal",0
"375","legal",0
"375","non-legal",1
"378","legal",2
"378","non-legal",0
"38","legal",1
"38","non-legal",0
"384","legal",5
"384","non-legal",2
"39","legal",1
"39","non-legal",2
"391","legal",0
"391","non-legal",1
"394","legal",0
"394","non-legal",8
"395","legal",0
"395","non-legal",0
"399","legal",2
"399","non-legal",1
"4","legal",0
"4","non-legal",0
"40","legal",0
"40","non-legal",5
"400","legal",0
"400","non-legal",0
"407","legal",3
"407","non-legal",0
"41","legal",0
"41","non-legal",2
"416","legal",0
"416","non-legal",3
"42","legal",1
"42","non-legal",0
"428","legal",1
"428","non-legal",1
"432","legal",0
"432","non-legal",2
"439","legal",0
"439","non-legal",0
"44","legal",3
"44","non-legal",4
"442","legal",3
"442","non-legal",2
"443","legal",2
"443","non-legal",0
"448","legal",0
"448","non-legal",1
"45","legal",2
"45","non-legal",3
"451","legal",0
"451","non-legal",1
"455","legal",6
"455","non-legal",0
"458","legal",1
"458","non-legal",0
"46","legal",0
"46","non-legal",0
"463","legal",0
"463","non-legal",1
"47","legal",1
"47","non-legal",0
"474","legal",0
"474","non-legal",0
"48","legal",1
"48","non-legal",2
"480","legal",0
"480","non-legal",0
"49","legal",1
"49","non-legal",0
"490","legal",0
"490","non-legal",0
"492","legal",0
"492","non-legal",2
"496","legal",1
"496","non-legal",1
"499","legal",1
"499","non-legal",0
"5","legal",3
"5","non-legal",1
"50","legal",0
"50","non-legal",0
"503","legal",5
"503","non-legal",14
"506","legal",2
"506","non-legal",2
"51","legal",0
"51","non-legal",0
"512","legal",0
"512","non-legal",0
"52","legal",0
"52","non-legal",0
"523","legal",4
"523","non-legal",4
"527","legal",2
"527","non-legal",2
"528","legal",0
"528","non-legal",1
"53","legal",0
"53","non-legal",0
"538","legal",1
"538","non-legal",0
"54","legal",6
"54","non-legal",8
"543","legal",1
"543","non-legal",2
"544","legal",0
"544","non-legal",1
"55","legal",0
"55","non-legal",0
"551","legal",0
"551","non-legal",0
"554","legal",0
"554","non-legal",1
"56","legal",0
"56","non-legal",0
"560","legal",0
"560","non-legal",3
"567","legal",9
"567","non-legal",0
"570","legal",1
"570","non-legal",5
"572","legal",0
"572","non-legal",0
"579","legal",0
"579","non-legal",3
"58","legal",1
"58","non-legal",2
"583","legal",0
"583","non-legal",0
"586","legal",0
"586","non-legal",0
"587","legal",0
"587","non-legal",5
"592","legal",0
"592","non-legal",1
"599","legal",1
"599","non-legal",3
"6","legal",0
"6","non-legal",0
"60","legal",2
"60","non-legal",2
"602","legal",2
"602","non-legal",1
"608","legal",0
"608","non-legal",5
"61","legal",0
"61","non-legal",10
"611","legal",0
"611","non-legal",5
"615","legal",9
"615","non-legal",0
"618","legal",0
"618","non-legal",0
"62","legal",0
"62","non-legal",1
"623","legal",1
"623","non-legal",0
"624","legal",1
"624","non-legal",2
"63","legal",0
"63","non-legal",2
"631","legal",2
"631","non-legal",1
"633","legal",1
"633","non-legal",3
"634","legal",0
"634","non-legal",2
"635","legal",0
"635","non-legal",1
"64","legal",0
"64","non-legal",3
"640","legal",2
"640","non-legal",0
"647","legal",3
"647","non-legal",7
"65","legal",0
"65","non-legal",0
"650","legal",0
"650","non-legal",0
"655","legal",0
"655","non-legal",1
"656","legal",0
"656","non-legal",0
"666","legal",23
"666","non-legal",1
"67","legal",7
"67","non-legal",6
"672","legal",0
"672","non-legal",0
"679","legal",1
"679","non-legal",0
"68","legal",0
"68","non-legal",0
"682","legal",0
"682","non-legal",4
"684","legal",0
"684","non-legal",0
"688","legal",0
"688","non-legal",0
"69","legal",0
"69","non-legal",0
"694","legal",1
"694","non-legal",1
"698","legal",2
"698","non-legal",1
"7","legal",2
"7","non-legal",3
"70","legal",1
"70","non-legal",0
"704","legal",0
"704","non-legal",1
"71","legal",1
"71","non-legal",1
"711","legal",0
"711","non-legal",0
"714","legal",0
"714","non-legal",1
"719","legal",0
"719","non-legal",0
"72","legal",2
"72","non-legal",0
"720","legal",0
"720","non-legal",1
"73","legal",1
"73","non-legal",0
"735","legal",0
"735","non-legal",1
"736","legal",0
"736","non-legal",9
"746","legal",0
"746","non-legal",0
"748","legal",1
"748","non-legal",3
"75","legal",1
"75","non-legal",2
"752","legal",0
"752","non-legal",0
"755","legal",3
"755","non-legal",0
"759","legal",0
"759","non-legal",3
"76","legal",0
"76","non-legal",0
"762","legal",0
"762","non-legal",0
"764","legal",0
"764","non-legal",2
"77","legal",0
"77","non-legal",2
"779","legal",0
"779","non-legal",0
"78","legal",0
"78","non-legal",5
"782","legal",0
"782","non-legal",4
"783","legal",1
"783","non-legal",0
"784","legal",3
"784","non-legal",2
"79","legal",2
"79","non-legal",1
"791","legal",0
"791","non-legal",1
"794","legal",0
"794","non-legal",0
"80","legal",0
"80","non-legal",1
"800","legal",0
"800","non-legal",0
"807","legal",6
"807","non-legal",1
"81","legal",1
"81","non-legal",6
"810","legal",1
"810","non-legal",1
"816","legal",0
"816","non-legal",0
"82","legal",0
"82","non-legal",0
"823","legal",3
"823","non-legal",1
"826","legal",12
"826","non-legal",0
"828","legal",1
"828","non-legal",2
"83","legal",0
"83","non-legal",1
"832","legal",0
"832","non-legal",2
"839","legal",0
"839","non-legal",1
"84","legal",1
"84","non-legal",6
"842","legal",4
"842","non-legal",10
"843","legal",1
"843","non-legal",0
"848","legal",0
"848","non-legal",2
"855","legal",25
"855","non-legal",3
"858","legal",1
"858","non-legal",0
"86","legal",0
"86","non-legal",4
"864","legal",0
"864","non-legal",1
"87","legal",1
"87","non-legal",2
"879","legal",0
"879","non-legal",0
"88","legal",3
"88","non-legal",19
"880","legal",0
"880","non-legal",3
"89","legal",0
"89","non-legal",0
"9","legal",0
"9","non-legal",0
"90","legal",1
"90","non-legal",5
"91","legal",0
"91","non-legal",1
"92","legal",0
"92","non-legal",0
"93","legal",0
"93","non-legal",0
"95","legal",0
"95","non-legal",3
"96","legal",2
"96","non-legal",0
"97","legal",3
"97","non-legal",1
"98","legal",0
"98","non-legal",0
"99","legal",2
"99","non-legal",1
"GBR-BOB","legal",0
"GBR-BOB","non-legal",2
"GBR1-1","legal",10
"GBR1-1","non-legal",3
"GBR1-2","legal",1
"GBR1-2","non-legal",1
"GBR1-3","legal",0
"GBR1-3","non-legal",1
"GBR1-4","legal",3
"GBR1-4","non-legal",3
"GBR2-1","legal",1
"GBR2-1","non-legal",7
"GBR2-2","legal",0
"GBR2-2","non-legal",3
"GBR2-3","legal",35
"GBR2-3","non-legal",2
"GBR2-4","legal",0
"GBR2-4","non-legal",0
"GBR3-1","legal",0
"GBR3-1","non-legal",1
"GBR3-2","legal",0
"GBR3-2","non-legal",0
"GBR3-3","legal",4
"GBR3-3","non-legal",0
"GBR3-4","legal",10
"GBR3-4","non-legal",6
"GBR4-1","legal",4
"GBR4-1","non-legal",5
"GBR4-2","legal",0
"GBR4-2","non-legal",1
"GBR5-1","legal",6
"GBR5-1","non-legal",5
"GBR5-2","legal",0
"GBR5-2","non-legal",5
"GBR5-3","legal",0
"GBR5-3","non-legal",0
"RB1","legal",0
"RB1","non-legal",0
"RB2","legal",5
"RB2","non-legal",6
"RC1","legal",4
"RC1","non-legal",12
"RC2","legal",6
"RC2","non-legal",5
"RC3","legal",9
"RC3","non-legal",7
